1,11,286.00,429.00,99.00,334.00,1,-1,-1,-1
1,10,489.00,153.00,71.00,171.00,1,-1,-1,-1
1,9,577.00,184.00,80.00,184.00,1,-1,-1,-1
1,8,682.00,224.00,86.00,185.00,1,-1,-1,-1
1,7,341.00,514.00,128.00,352.00,1,-1,-1,-1
1,6,0.00,708.00,60.00,369.00,1,-1,-1,-1
1,5,885.00,171.00,74.00,185.00,1,-1,-1,-1
1,4,376.00,195.00,79.00,208.00,1,-1,-1,-1
1,3,1095.00,202.00,71.00,223.00,1,-1,-1,-1
1,2,737.00,498.00,126.00,319.00,1,-1,-1,-1
1,1,55.00,723.00,141.00,353.00,1,-1,-1,-1
2,12,748.00,132.00,74.00,213.00,1,-1,-1,-1
2,10,488.44,153.98,72.12,169.03,1,-1,-1,-1
2,9,578.40,178.44,79.19,188.12,1,-1,-1,-1
2,8,683.09,225.80,83.81,179.41,1,-1,-1,-1
2,7,311.92,498.98,150.16,377.04,1,-1,-1,-1
2,6,0.46,711.32,62.08,369.36,1,-1,-1,-1
2,5,881.60,164.58,79.80,192.84,1,-1,-1,-1
2,4,375.09,193.76,78.82,206.47,1,-1,-1,-1
2,3,1093.44,201.72,84.12,229.55,1,-1,-1,-1
2,2,735.46,494.88,130.09,324.25,1,-1,-1,-1
2,1,53.19,722.53,142.62,354.94,1,-1,-1,-1
3,12,749.19,123.46,76.61,218.08,1,-1,-1,-1
3,9,579.46,177.55,77.19,192.31,1,-1,-1,-1
3,7,316.92,508.73,149.34,360.07,1,-1,-1,-1
3,6,0.38,715.02,62.42,365.19,1,-1,-1,-1
3,5,874.46,163.08,87.43,197.44,1,-1,-1,-1
3,4,377.54,192.47,80.39,205.99,1,-1,-1,-1
3,3,1105.61,204.23,85.79,228.66,1,-1,-1,-1
3,2,737.39,497.06,125.34,318.88,1,-1,-1,-1
3,1,49.30,723.52,146.52,357.72,1,-1,-1,-1
4,9,578.76,173.34,77.72,196.25,1,-1,-1,-1
4,7,317.47,512.24,147.36,357.85,1,-1,-1,-1
4,6,0.31,713.43,63.36,367.92,1,-1,-1,-1
4,5,871.58,163.71,89.50,200.80,1,-1,-1,-1
4,4,378.37,192.39,82.47,205.71,1,-1,-1,-1
4,3,1105.05,198.80,96.34,234.18,1,-1,-1,-1
4,2,734.92,499.37,120.77,314.10,1,-1,-1,-1
4,1,44.18,721.55,149.35,360.79,1,-1,-1,-1
5,12,755.33,125.02,74.59,212.60,1,-1,-1,-1
5,9,577.53,172.70,77.61,199.50,1,-1,-1,-1
5,7,305.74,504.46,153.38,372.24,1,-1,-1,-1
5,5,871.84,164.15,90.58,201.09,1,-1,-1,-1
5,4,377.53,194.83,82.58,200.83,1,-1,-1,-1
5,3,1108.91,200.17,100.39,235.39,1,-1,-1,-1
5,2,733.33,498.75,117.68,314.57,1,-1,-1,-1
5,1,34.29,719.03,155.64,365.48,1,-1,-1,-1
6,12,756.57,120.69,77.70,217.00,1,-1,-1,-1
6,9,575.82,167.39,78.03,203.39,1,-1,-1,-1
6,7,297.45,501.03,158.79,381.59,1,-1,-1,-1
6,5,870.97,167.36,92.99,197.86,1,-1,-1,-1
6,4,371.86,189.47,79.22,196.83,1,-1,-1,-1
6,3,1111.81,195.87,101.17,239.28,1,-1,-1,-1
6,2,729.22,498.35,116.80,316.63,1,-1,-1,-1
6,1,30.74,720.75,156.69,363.35,1,-1,-1,-1
7,14,965.80,134.27,66.06,202.56,1,-1,-1,-1
7,13,1453.51,240.06,83.79,163.44,1,-1,-1,-1
7,12,758.44,120.74,76.91,217.22,1,-1,-1,-1
7,9,577.06,165.26,77.48,206.16,1,-1,-1,-1
